ingredient,calcium,potassium,fat,vitamin_c,vitamin_b1,vitamin_b2,iron,sodium,vitamin_a,protein,calories,carbs,fiber
หัวหอม,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หัวหอมซอย,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หัวหอมกลาง,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หัวหอมขนาดกลาง,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หัวหอมหั่นสี่เหลี่ยมเล็ก,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หอมใหญ่ซอยตามขวาง,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หอมใหญ่หั่นเล็ก,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หอมใหญ่สับละเอียด,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หอมฝรั่งหั่นเล็ก ๆ,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หัวหอมปอกแล้วหั่น,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หัวหอมสำหรับเจียว,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หัวหอมซอยหยาบ ๆ,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
หัวหอมฝอย,17.0,171.0,0.08,8.2,0.046,0.027,0.24,1.0,0.0,0.86,38.0,8.46,1.7
ต้นหอม,72.0,276.0,0.19,18.8,0.055,0.08,1.48,16.0,50.0,1.83,32.0,7.34,2.6
ใบหอม,72.0,276.0,0.19,18.8,0.055,0.08,1.48,16.0,50.0,1.83,32.0,7.34,2.6
รากผักชี,67.0,521.0,0.52,27.0,0.067,0.162,1.77,46.0,337.0,2.13,23.0,3.67,2.8
ผักชี,67.0,521.0,0.52,27.0,0.067,0.162,1.77,46.0,337.0,2.13,23.0,3.67,2.8
ผักซี,67.0,521.0,0.52,27.0,0.067,0.162,1.77,46.0,337.0,2.13,23.0,3.67,2.8
พริกไทย,443.0,1330.0,3.26,0.0,0.108,0.18,9.71,20.0,27.0,10.4,251.0,64.0,25.3
พริกขี้หนู,18.0,340.0,0.2,242.0,0.09,0.09,1.2,7.0,59.0,2.0,40.0,9.46,1.5
พริกชี้ฟ้า,14.0,322.0,0.44,144.0,0.072,0.086,1.03,9.0,48.0,1.87,40.0,8.81,1.5
พริก,14.0,322.0,0.44,144.0,0.072,0.086,1.03,9.0,48.0,1.87,40.0,8.81,1.5
พริกสด,14.0,322.0,0.44,144.0,0.072,0.086,1.03,9.0,48.0,1.87,40.0,8.81,1.5
พริกแดง,14.0,322.0,0.44,144.0,0.072,0.086,1.03,9.0,48.0,1.87,40.0,8.81,1.5
พริกแห้ง,148.0,2010.0,17.3,76.4,0.328,0.919,7.8,30.0,2080.0,12.0,318.0,56.6,27.2
พริกป่น,148.0,2010.0,17.3,76.4,0.328,0.919,7.8,30.0,2080.0,12.0,318.0,56.6,27.2
พริกสดป่น,148.0,2010.0,17.3,76.4,0.328,0.919,7.8,30.0,2080.0,12.0,318.0,56.6,27.2
พริกแห้งป่นละเอียด,148.0,2010.0,17.3,76.4,0.328,0.919,7.8,30.0,2080.0,12.0,318.0,56.6,27.2
พริกสวนนอก,18.0,340.0,0.2,242.0,0.09,0.09,1.2,7.0,59.0,2.0,40.0,9.46,1.5
