ingredient,calcium,potassium,fat,vitamin_c,vitamin_b1,vitamin_b2,iron,sodium,vitamin_a,protein,calories,carbs,fiber
ลูกโป๊ยกั๊ก,646.0,1440.0,15.9,21.0,0.34,0.29,37.0,16.0,16.0,17.6,337.0,50.0,14.6
กานพลู,632.0,1020.0,13.0,0.2,0.158,0.22,11.8,277.0,8.0,5.97,274.0,65.5,33.9
กระวาน,383.0,1120.0,6.7,21.0,0.198,0.182,14.0,18.0,0.0,10.8,311.0,68.5,28.0
กะวาน,383.0,1120.0,6.7,21.0,0.198,0.182,14.0,18.0,0.0,10.8,311.0,68.5,28.0
ใบกระวาน,834.0,529.0,8.36,46.5,0.009,0.421,43.0,23.0,309.0,7.61,313.0,75.0,26.3
ลูกจันทร์,184.0,350.0,36.3,3.0,0.346,0.057,3.04,16.0,5.0,5.84,525.0,49.3,20.8
ลูกจันทร์ป่น,184.0,350.0,36.3,3.0,0.346,0.057,3.04,16.0,5.0,5.84,525.0,49.3,20.8
ดอกจันทร์,252.0,463.0,32.4,21.0,0.312,0.448,13.9,80.0,40.0,6.71,475.0,50.5,20.2
ผงลูกจันทร์เทศ,184.0,350.0,36.3,3.0,0.346,0.057,3.04,16.0,5.0,5.84,525.0,49.3,20.8
ดีปลี,443.0,1330.0,3.26,0.0,0.108,0.18,9.71,20.0,27.0,10.4,251.0,64.0,25.3
ขมิ้น,168.0,2080.0,3.25,0.7,0.058,0.15,55.0,27.0,0.0,9.68,312.0,67.1,22.7
ขมิ้นผง,168.0,2080.0,3.25,0.7,0.058,0.15,55.0,27.0,0.0,9.68,312.0,67.1,22.7
ขมิ้นแห้ง,168.0,2080.0,3.25,0.7,0.058,0.15,55.0,27.0,0.0,9.68,312.0,67.1,22.7
ขมิ้นแขก,168.0,2080.0,3.25,0.7,0.058,0.15,55.0,27.0,0.0,9.68,312.0,67.1,22.7
ขมิ้นขาวหั่น,168.0,2080.0,3.25,0.7,0.058,0.15,55.0,27.0,0.0,9.68,312.0,67.1,22.7
ขมิ้นขาวหั่นแฉลบบาง ๆ,168.0,2080.0,3.25,0.7,0.058,0.15,55.0,27.0,0.0,9.68,312.0,67.1,22.7
ไพล,168.0,2080.0,3.25,0.7,0.058,0.15,55.0,27.0,0.0,9.68,312.0,67.1,22.7
กระชาย,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
กระชายหั่น,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
กะชาย,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
กะชายมีหัวติด,16.0,415.0,0.75,5.0,0.025,0.034,0.6,13.0,0.0,1.82,80.0,17.8,2.0
ยี่หร่า,931.0,1790.0,22.3,7.7,0.628,0.327,66.4,168.0,64.0,17.8,375.0,44.2,10.5
ลูกจันทน์ป่น,184.0,350.0,36.3,3.0,0.346,0.057,3.04,16.0,5.0,5.84,525.0,49.3,20.8
นมสด,123.0,150.0,3.2,0.0,0.056,0.138,0.0,38.0,32.0,3.27,60.0,4.63,0.0
นมอุ่น,123.0,150.0,3.2,0.0,0.056,0.138,0.0,38.0,32.0,3.27,60.0,4.63,0.0
โกโก้,128.0,1520.0,13.7,0.0,0.078,0.241,13.9,21.0,0.0,19.6,228.0,57.9,37.0
น้ำ,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
น้ำเปล่า,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
น้ำสะอาด,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
น้ำเย็น,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
น้ำร้อน,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
น้ำเปล่าหรือน้ำข้าวต้ม,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
น้ำสำหรับนวดแป้ง,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
น้ำลอยดอกไม้,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
น้ำดอกไม้สด,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
น้ำปูนใส,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
น้ำข้าวหมาก,5.0,25.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.5,134.0,5.0,0.0
เหล้า,5.0,25.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.5,134.0,5.0,0.0
เหล้าจีน,5.0,25.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.5,134.0,5.0,0.0
เหล้าเสียว,0.0,2.0,0.0,0.0,0.006,0.004,0.04,1.0,0.0,0.0,231.0,0.0,0.0
เหล้าบรั่นดี,0.0,2.0,0.0,0.0,0.008,0.0,0.12,1.0,0.0,0.0,231.0,0.0,0.0
น้ำแกงดี,3.0,105.0,1.2,0.2,0.035,0.085,0.21,143.0,1.0,2.52,36.0,3.53,0.0
น้ำหรือน้ำซุป,3.0,105.0,1.2,0.2,0.035,0.085,0.21,143.0,1.0,2.52,36.0,3.53,0.0
น้ำผลไม้,8.0,101.0,0.1,63.6,0.023,0.014,0.34,8.0,2.0,0.1,47.0,11.7,0.1
น้ำมะเขือเทศ,10.0,217.0,0.29,70.1,0.1,0.078,0.39,10.0,23.0,0.85,17.0,3.53,0.4
น้ำวานิลลา,11.0,148.0,0.06,0.0,0.011,0.095,0.12,9.0,0.0,0.06,288.0,12.6,0.0
กลิ่นวานิลลา,11.0,148.0,0.06,0.0,0.011,0.095,0.12,9.0,0.0,0.06,288.0,12.6,0.0
น้ำหอมหรือสีตามชอบเล็กน้อย,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ใบตอง,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ใบตองสำหรับห่อ,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ใบตองสำหรับปิ้ง,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ใบตองสำหรับรอง,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
กาบมะพร้าวเผาไฟป่นละเอียด,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ไม้กลัด,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ดินสอพอง,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ใบเมี่ยง,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ผักสดสำหรับรับประทาน,35.0,263.0,0.26,28.7,0.05,0.074,0.26,53.0,206.0,1.19,30.0,5.83,2.0
ดอกมะลิ กะดังงา เทียนอบ,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
