ingredient_id,recipe_id,component_group,ingredient_name,nutrition_name,quantity,unit,grams_approx
115,12,ส่วนผสมหลัก,ข่า,ข่า,7,แว่น,35.0
116,12,ส่วนผสมหลัก,ตะไคร้ซอย,ตะไคร้ซอย,1,ช้อนโต๊ะ,15.0
117,12,ส่วนผสมหลัก,หัวหอมกลาง,หัวหอมกลาง,15,หัว,450.0
118,12,ส่วนผสมหลัก,กระเทียมกลาง,กระเทียมกลาง,15,กลีบ,30.0
119,12,ส่วนผสมหลัก,ปลาย่างหรือกุ้งสดหรือกุ้งแห้ง,ปลาย่างหรือกุ้งสดหรือกุ้งแห้ง,50,กรัม,50.0
120,12,ส่วนผสมหลัก,มะพร้าว,มะพร้าว,500,กรัม,500.0
121,12,ส่วนผสมหลัก,น้ำปลา,น้ำปลา,2,ช้อนโต๊ะ,36.0
122,13,ส่วนผสมหลัก,เนื้อหมู (หั่นสี่เหลี่ยมลูกบาศก์ขนาดประมาณ 1 ซม.),เนื้อหมู,3,ถ้วย,720.0
123,13,ส่วนผสมหลัก,มันหมู (หั่นสี่เหลี่ยมลูกบาศก์ขนาดประมาณ 1 ซม.),มันหมู,1/2,ถ้วย,120.0
124,13,ส่วนผสมหลัก,มะพร้าวขูด,มะพร้าวขูด,500,กรัม,500.0
125,13,ส่วนผสมหลัก,ไส้หมู,ไส้หมู,500,กรัม,500.0
126,13,ส่วนผสมหลัก,เนื้อปูทะเลหรือกุ้ง,เนื้อปูทะเลหรือกุ้ง,1,ถ้วย,240.0
127,13,ส่วนผสมหลัก,มันแกวต้มสุกหั่นฝอย,มันแกวต้มสุกหั่นฝอย,1,ถ้วย,240.0
128,13,ส่วนผสมหลัก,ไข่เป็ด,ไข่เป็ด,2,ฟอง,140.0
129,13,ส่วนผสมหลัก,ต้นหอมและผักชีซอย,ต้นหอมและผักชีซอย,1,ถ้วย,240.0
130,13,ส่วนผสมหลัก,น้ำมันหมู,น้ำมันหมู,2,ช้อนโต๊ะ,26.0
131,13,ส่วนผสมหลัก,น้ำปลาดี,น้ำปลาดี,2,ช้อนโต๊ะ,36.0
132,13,เครื่องปรุงน้ำพริก,พริกแห้ง,พริกแห้ง,6,เม็ด,
133,13,เครื่องปรุงน้ำพริก,หัวหอมขนาดกลาง,หัวหอมขนาดกลาง,25,หัว,750.0
134,13,เครื่องปรุงน้ำพริก,กระเทียมขนาดกลาง,กระเทียมขนาดกลาง,20,กลีบ,40.0
135,13,เครื่องปรุงน้ำพริก,ตะไคร้ต้นใหญ่,ตะไคร้ต้นใหญ่,1,ต้น,
136,13,เครื่องปรุงน้ำพริก,ข่า,ข่า,5,แว่น,25.0
137,13,เครื่องปรุงน้ำพริก,พริกไทย,พริกไทย,9,เม็ด,0.45
138,13,เครื่องปรุงน้ำพริก,รากผักชีหั่นละเอียด,รากผักชีหั่นละเอียด,1,ช้อนชา,5.0
139,13,เครื่องปรุงน้ำพริก,ถั่วยี่สงคั่วใหม่ ๆ,ถั่วยี่สงคั่วใหม่ ๆ,1/4,ถ้วย,60.0
140,13,เครื่องปรุงน้ำพริก,เกลือเม็ด,เกลือเม็ด,1,ช้อนโต๊ะ,15.0
